FC1,FC2
2.5295,4.1102
1.2118,4.6693
1.7693,7.166
3.5454,7.9438
4.6964,8.753
3.7538,8.4058
2.78,5.8712
4.4313,4.8365
6.6449,5.7704
7.2022,6.7667
8.291,7.8568
7.0987,7.603
5.6563,7.0992
6.1827,6.2515
6.2714,4.4663
5.7663,4.556
6.1675,5.4893
5.3812,5.5476
5.2511,4.1684
5.6524,3.2891
5.335,4.1912
4.5176,5.6244
3.5753,5.2138
3.8204,4.7718
1.9719,4.7673
1.8419,7.4502
1.9932,9.1955
1.1133,5.9408
0.8895,3.1235
-0.2405,1.9622
-2.7455,-0.824
-3.5317,-4.0789
-4.4739,-4.6775
-5.6972,-3.7761
-6.4518,-3.3748
-5.1439,-2.3174
-3.4299,-0.9164
-3.966,-1.0156
-4.377,-1.1773
-3.4443,0.161
-3.5428,1.343
-2.5788,2.1187
-4.0523,0.8005
-4.4634,1.3259
-4.1557,-0.3674
-2.5667,-0.9358
3.0536,0.6209
4.1115,3.8963
-1.4555,4.1407
0.4151,3.7289
0.9419,3.0357
0.3437,2.7801
1.0269,3.8993
1.8351,4.8621
0.8932,3.9499
-0.0799,2.5687
0.4469,4.25
2.3487,4.9937
4.9694,5.9874
4.3714,5.9185
2.8984,3.8496
4.2378,4.2806
3.8897,6.8052
0.9479,6.3297
3.006,5.0729
5.9389,5.9409
6.0592,6.5588
4.5856,4.2703
4.4246,2.1067
5.1073,2.818
6.3212,4.4355
7.3477,3.9904
6.4368,3.6703
4.2758,1.7564
5.1462,2.4049
7.0165,5.397
8.3243,8.9828
10.0696,11.7874
10.4087,10.8421
8.9977,7.1154
8.5868,4.0136
7.5506,3.0366
4.7644,1.9345
4.7281,3.7072
5.3479,5.636
5.7176,4.2209
4.7124,3.5558
2.7073,3.7657
3.7646,1.9756
2.478,2.4665
-2.0897,4.27
-2.0637,2.5733
-2.2878,0.9078
-1.2619,2.5546
-1.3298,2.2638
0.1648,2.5667
0.628,2.1507
2.1225,3.3908
3.1794,4.6934
4.0486,5.3395
5.4178,4.9855
8.0682,4.6627
9.0624,5.1524
9.0565,6.3606
9.8944,10.4126
9.5136,11.3395
9.3203,11.0163
9.0958,11.8805
9.2462,10.8383
11.0527,10.9835
7.7028,8.941
6.3841,7.3673
7.7218,6.8561
6.4657,6.1885
5.1782,6.302
7.4532,5.853
8.5096,2.7477
4.0659,1.7048
-4.3464,2.162
-4.1337,1.4005
-5.5461,-2.2676
-5.9898,-4.8107
-2.8085,-3.1352
-0.5023,-1.6784
-0.1338,-1.3156
-1.2654,-2.6094
-3.1157,-4.2471
-1.5285,-1.1975
1.7149,2.2271
3.1146,1.6829
0.8891,-2.2989
-3.0865,-2.5932
-2.8432,-1.1064
-2.9748,-1.5571
-0.7001,-0.4765
2.5121,1.1666
2.6618,2.9657
1.7489,3.3271
2.2735,3.5012
2.2355,2.3314
2.0724,-1.0885
0.8782,-2.3834
2.6529,-1.0848
3.6777,-1.0051
1.3273,-1.1443
2.2892,1.0916
6.2196,1.9211
7.7126,1.563
-1.3882,0.7986
-4.8017,-0.2161
0.191,1.9567
2.3711,2.5983
3.0823,2.3647
3.4183,2.8182
2.5982,2.9903
1.4968,-0.3065
-2.6361,-4.4471
-5.488,-6.4315
-4.7772,-4.1037
-0.7851,-1.0259
1.6132,-0.4793
2.2302,-1.9015
3.9721,-1.3553
6.464,-0.0907
3.987,-0.6384
-0.4279,-1.5611
-1.7178,-2.1715
-3.2578,-4.3447
-3.079,-5.1744
-2.2441,-2.5041
-0.5965,0.1037
1.8635,2.6488
4.1362,4.1938
5.0025,4.8013
5.8686,3.5964
7.0161,2.954
6.7889,4.5927
6.9362,5.7939
5.3642,5.5263
3.7301,4.9142
2.065,1.8642
1.462,0.6584
1.3279,0.3591
1.1939,-0.1279
3.278,0.1661
4.1746,0.3351
3.6026,0.7854
4.3743,1.3918
6.1458,2.7479
6.6046,5.0726
6.0948,6.3348
4.5536,4.4715
4.4817,2.6084
3.4726,0.0267
3.7441,-1.1489
4.7338,-0.8247
3.1296,-0.3445
0.4006,0.073
2.4841,2.5531
3.1924,3.4082
3.2756,4.4815
1.9837,3.8674
1.7233,1.8156
1.9314,1.8265
1.233,2.1812
-1.0904,1.4109
-2.4138,-0.1099
-4.706,-2.9122
-6.5296,-5.6209
-8.4469,-8.2986
-8.6454,-8.9764
-6.6252,-8.0294
-4.2617,-6.2388
-2.6172,-5.4481
-3.4103,-7.1263
-5.516,-6.8048
-6.6841,-6.6082
-6.1648,-6.3174
-5.2706,-5.683
-0.7824,-3.1743
-2.9193,-1.6969
-8.3375,-1.7818
-4.3185,-1.1478
-0.9558,0.2363
0.0327,-0.5683
0.7086,0.1266
-1.4605,0.1972
-0.1298,0.1428
-2.049,-2.1932
-3.0308,-2.4355
-3.7937,-2.7405
-4.5567,-3.3582
-3.6949,-3.4445
-2.8019,-3.7808
-2.0027,-2.3045
-0.766,0.8592
-1.7484,0.6163
-1.856,0.0293
0.0367,-0.8079
4.2734,-1.7389
5.6349,-1.5134
-3.254,-1.3503
-5.0492,-0.5942
1.0934,0.068
0.8607,1.2302
-2.3721,0.6419
-2.0727,-2.2591
-0.0241,-1.9726
-1.2581,-2.5604
-0.9294,-4.0859
-1.6003,-4.1747
-1.4587,-3.6388
0.8077,-2.2902
3.7298,-0.16
6.2144,0.9697
4.824,-1.1196
2.0899,-2.6462
-0.394,-3.5165
0.2472,-2.2929
1.982,-1.6631
2.6229,-3.7835
0.1074,-5.9353
-5.5642,-7.0558
-8.2353,-6.9577
-4.3124,-5.7659
-3.3594,-6.9799
-0.9066,-5.5063
1.0459,-3.7832
1.6857,-2.6858
1.6386,-1.6519
-1.1586,-4.1491
-3.2372,-3.0835
-1.3474,-1.7053
1.8545,-1.4832
0.5878,-3.2613
-1.7731,-5.4768
-1.3521,-4.3803
-2.2431,-3.3153
-4.135,-2.4374
-4.6837,0.1279
-1.5448,3.0052
-1.1867,1.7877
-3.3916,-1.4294
-5.0972,-3.177
-4.9585,-3.7056
-5.2571,-4.8907
-5.3685,-5.7014
-6.6663,-6.7931
-8.9957,-4.7288
-9.2645,-2.3524
-10.0635,-4.5706
-10.4251,-6.914
-11.1937,-9.0065
-11.1185,-11.1612
-8.6991,-11.0978
-9.6228,-12.5662
-14.2975,-14.4409
-20.0042,-13.3467
-16.4292,-11.034
-13.042,-9.7213
-11.6547,-10.1272
-11.5165,-12.252
-10.16,-12.2832
-9.6784,-11.6583
-9.3838,-11.0965
-8.9662,-9.5967
-9.2981,-10.409
-9.3803,-10.6591
-9.901,-10.8782
-10.2338,-9.5031
-11.1907,-8.2218
-12.1174,-8.0345
-12.9819,-7.6601
-12.9712,-8.1298
-12.5535,-9.0374
-13.4796,-10.9442
-16.0004,-12.8197
-15.7707,-12.2894
-14.6652,-10.7597
-13.6542,-8.5427
-14.6125,-7.7629
-14.0086,-7.702
-11.2176,-5.4848
-8.9574,-3.6425
-6.8846,-2.4877
-5.9363,-1.9263
-5.5189,-1.8023
-4.9149,-2.5543
-5.2486,-2.5254
-4.4882,-0.7776
-4.9158,-1.1856
-5.562,-1.2815
-5.5523,-1.6276
-7.0425,-3.7552
-8.2513,-5.7265
-7.398,-6.7288
-7.1698,-7.6373
-7.3475,-8.7336
-7.3999,-8.1737
-6.6404,-5.7395
-6.9438,-4.5866
-8.6848,-5.1522
-7.6758,-4.2171
-6.8857,-3.9691
-6.1893,-4.1593
-6.2109,-5.2875
-5.9504,-5.447
-4.3784,-3.1999
-4.9005,-3.3903
-6.1099,-4.019
-6.32,-2.492
-7.5307,-2.5583
-8.1479,-4.1245
-6.2026,-2.8156
-5.2571,-1.8503
-5.8114,-3.3544
-6.2722,-4.4212
-6.9826,-5.6756
-8.9425,-7.9612
-9.2468,-7.34
-7.3641,-4.7815
-5.7002,-2.2234
-4.4113,-0.8529
-3.8412,-0.9827
-5.1464,-1.831
-7.1075,-3.1167
-7.9429,-3.9338
-5.6217,-2.9699
-5.1765,-3.7559
-7.0759,-4.3232
-7.1628,-3.4222
-5.5624,-1.8647
-5.743,-3.0885
-8.7677,-5.2814
-10.7301,-4.9741
-13.2854,-6.6048
-12.6219,-8.2039
-11.0216,-7.0838
-7.734,-4.4953
-5.7279,-3.0635
-4.9406,-1.5061
-2.7788,-0.1041
-1.5227,-0.0786
-1.5161,-0.273
-1.5098,-1.5921
-1.9104,-3.8172
-0.7485,-4.0734
0.257,-3.798
-0.6751,-4.4599
0.6435,-2.7473
1.65,-0.9724
2.9683,0.4903
4.2226,0.5155
4.6024,-0.8035
6.233,-0.1851
6.4579,-0.0359
8.4324,-0.3245
6.6249,-2.7378
5.2863,-2.4008
4.2288,-1.0639
1.1397,-1.9457
0.9252,-1.2649
0.6794,-1.8655
1.278,-1.873
0.7514,-3.3182
0.8493,-4.5441
1.8539,-4.9578
2.3593,-4.8099
4.021,-3.6933
4.4954,-4.5763
5.4683,-3.7402
6.1903,-2.4037
4.8197,-2.4734
1.3855,-4.5746
-0.8298,-5.5506
-0.4822,-5.464
0.3337,-5.7529
0.2747,-5.573
0.0909,-4.5182
1.5319,-3.4324
4.0667,-1.1903
3.3517,-0.4168
1.199,-0.7365
-2.2036,-3.6501
-2.6375,-4.7831
-1.1339,-4.0725
-0.3183,-4.299
0.5287,-4.9629
