CP1,CP2
-3.7174,1.6917
-4.8667,0.0161
-2.9536,0.278
-3.3842,-2.2102
-2.9087,-2.1674
-0.4332,-0.3436
2.386,2.0738
2.2051,2.8975
1.6805,-0.8724
0.9059,0.0762
-0.8688,3.1495
-1.1435,6.4726
1.2068,9.4831
2.3697,11.8996
1.2826,11.6598
-0.1482,8.2323
-0.579,6.5234
-0.8537,6.0019
0.6842,5.2301
1.5033,6.2394
-0.9901,4.9985
-2.6398,2.195
-3.2583,-0.2336
-4.783,-0.5059
-6.4952,0.1593
-5.9886,-0.3007
-3.8257,-3.6982
-2.6629,-5.8144
-4.344,-7.462
-5.1187,-8.5161
-5.3621,-8.2578
-5.8868,-7.4998
-6.2239,-4.8357
-4.7798,-0.2656
-3.6793,1.6481
-3.86,-1.8759
-3.6344,-5.1813
-4.5649,-5.2055
-5.5891,-4.2298
-5.5508,-2.0355
-4.9812,-1.0915
-6.3805,-1.7101
-5.311,1.171
-4.3352,6.9271
-3.1719,8.5267
-3.4461,4.7823
-3.7827,2.1627
-2.432,3.6992
-1.9875,4.1107
-0.7306,2.6471
0.12,0.3399
-0.9044,-0.3738
-2.9289,2.4749
-4.0159,3.0422
